2;ANALISTA DE RED DE DATOS
3;APRENDIZ - UNIVERSITARIO
4;APRENDIZ SENA - LECTIVO
5;APRENDIZ SENA - PRODUCTIVO
6;ASEADOR
7;ASISTENTE
8;ASISTENTE DE SERVICIOS DE DATOS
9;ASISTENTE ESPECIALIZADO
10;AUXILIAR
11;AUXILIAR DE ENSAYOS Y CALIBRACIONES
12;AUXILIAR DE GESTION DOCUMENTAL
13;AUXILIAR DE INGENIERIA
14;AUXILIAR DE LABORATORIOS DE ENERGIA
15;AUXILIAR DE TELECOMUNICACIONES
16;AUXILIAR ENFERMERIA
17;AUXILIAR GENERAL DE OFICINA
18;AUXILIAR I
19;AYUDANTE ADMINISTRATIVO I
20;AYUDANTE ADMINISTRATIVO II
21;AYUDANTE DE SERVICIOS GENERALES
22;AYUDANTE LINIERO DE ENERGIA
23;AYUDANTE OPERACION ACUEDUCTO
24;CERRAJERO SOLDADOR
25;CHOFER EQUIPO ESPECIAL ENERGIA
26;COMPRESORISTA
27;CONDUCTOR AYUDANTE
28;CONDUCTOR AYUDANTE ESPECIAL
29;CONDUCTOR DE SEGURIDAD
30;COORDINADOR
31;COORDINADOR OFICIAL
32;DIRECTOR CONTROL DISCIPLINARIO DE INSTRUCCION
33;DIRECTOR DE CONTROL INTERNO
34;DIRECTOR JURIDICO
35;ELECTRICISTA I
36;ELECTRICISTA II
37;ELECTRICISTA MONTADOR I
38;EMPALMADOR
39;EMPALMADOR I TELEFONOS
40;EMPALMADOR II TELEFONOS
41;GERENTE DE AREA
42;GERENTE DE UNIDAD ESTRATEGICA DE NEGOCIO
43;GERENTE GENERAL
44;GESTOR COMERCIAL
45;GUARDA DE SEGURIDAD
46;INGENIERO DE CONMUTACION
47;INGENIERO DE INTERCONEXIONES
48;INGENIERO DE OPERACION Y MANTENIMIENTO I
49;INGENIERO DE OPERACION Y MANTENIMIENTO II
50;INGENIERO DE PROYECTOS I
51;INGENIERO DE PROYECTOS II
52;INGENIERO DE SERVICIO
53;INGENIERO PLANTA EXTERNA
54;JEFE DE UNIDAD
55;LINIERO
56;LINIERO TELEFONOS
57;OBRERO DE SONDEO
58;OFICIAL ALBANILERIA
59;OPERADOR DE EQUIPO
60;OPERADOR DE RADIO
61;OPERADOR DE RED ACUEDUCTO I
62;OPERADOR DE RED ACUEDUCTO II
63;OPERADOR DE RED TELEFONOS
64;OPERADOR PEQUE�OS ACUEDUCTOS
65;OPERADOR PLANTAS AGUAS RESIDUALES I
66;OPERADOR SISTEMAS DE AGUA POTABLE
67;OPERADOR SISTEMAS DE BOMBEO
68;OPERADOR SISTEMAS DE BOMBEO AGUAS RESIDUA
69;OPERADOR SUBESTACION
70;OPERADORA II DA�OS
71;OPERARIO AUXILIAR I
72;OPERARIO AUXILIAR II
73;OPERARIO AUXILIAR PEQUE�OS ACUEDUCTOS
74;OPERARIO DE MANTENIMIENTO ELECTRICO I
75;OPERARIO DE MANTENIMIENTO ELECTRICO II
76;OPERARIO DE MANTENIMIENTO I
77;OPERARIO DE MANTENIMIENTO II
78;OPERARIO DE SERVICIOS GENERALES
79;PLOMERO I
80;PLOMERO II
81;PROFESIONAL ADMINISTRATIVO I
82;PROFESIONAL ADMINISTRATIVO II
83;PROFESIONAL ADMINISTRATIVO III
84;PROFESIONAL DE ENSAYOS Y CALIBRACIONES I
85;PROFESIONAL DE ENSAYOS Y CALIBRACIONES II
86;PROFESIONAL DE LABORATORIO DE ENERGIA
87;PROFESIONAL DE PROCESOS DE APOYO
88;PROFESIONAL DE SERVICIOS
89;PROFESIONAL EN TELEMATICA I
90;PROFESIONAL EN TELEMATICA II
91;PROFESIONAL EN TELEMATICA III
92;PROFESIONAL ESPECIALIZADO IV
93;PROFESIONAL FINANCIERO I
94;PROFESIONAL FINANCIERO II
95;PROFESIONAL FINANCIERO III
96;PROFESIONAL MASTER
97;PROFESIONAL OPERATIVO I
98;PROFESIONAL OPERATIVO II
99;PROFESIONAL OPERATIVO III
100;REPARADOR VALVULAS
101;REVISOR DE SERVICIOS
102;SECRETARIA
103;SECRETARIA ADMINISTRATIVA
104;SECRETARIA PRIVADA DE GERENCIA GENERAL
105;SECRETARIO GENERAL
106;SUBGERENTE
107;SUPERVISOR DE EMPALMES
108;SUPERVISOR I
109;SUPERVISOR II
110;SUPERVISOR LINIERO ENERGIA
111;SUPERVISOR PLOMERIA
112;SUPERVISOR RED SUBTERRANEA ENERGIA
113;SUPERVISOR SONDEO
114;TECNICO AUXILIAR DE ACUEDUCTO
115;TECNICO DE COMUNICACIONES ENERGIA
116;TECNICO DE ENSAYOS Y CALIBRACIONES I
117;TECNICO DE ENSAYOS Y CALIBRACIONES II
118;TECNICO DE GRUPO
119;TECNICO DE INFRAESTRUCTURA
120;TECNICO DE INSPECCION Y MEDICION
121;TECNICO DE INTERVENTORIA
122;TECNICO DE LABORATORIO DE ACUEDUCTO
123;TECNICO DE LABORATORIO ENERGIA
124;TECNICO DE MANTENIMIENTO
125;TECNICO DE PROCESOS DE INGENIERIA
126;TECNICO DE PRUEBAS TELEFONOS
127;TECNICO DE RED TELEFONOS I
128;TECNICO DE RED TELEFONOS II
129;TECNICO DE SISTEMA DE ACUEDUCTO Y ALCANTARIL
130;TECNICO DE TELEFONOS
131;TECNICO PROCESOS DE ACUEDUCTO
132;TECNICO PROCESOS DE ALCANTARILLADO
133;TECNOLOGO ADMINISTRATIVO
134;TECNOLOGO EN TELEMATICA I
135;TECNOLOGO EN TELEMATICA II
136;TECNOLOGO OPERADOR EN TELEMATICA
137;TESORERO
138;ANALISTA